video_id,title,published
iuKek7BEThI,📢 홍익지도자 5기 모집 안내 ⏰,2025-04-22
I6ogG8nkQsc,"[천공 정법]13633강 6월 3일 대선, 차기 대통령 자질과 평가 기준",2025-04-21
zjzk6PFNNB0,[천공 정법]13632강 한군데 오래 정착하지 못한다,2025-04-20
qD3uQ_jz9WI,[천공 정법]13631강 시험지를 두려워하지 않고 극복하는 방법,2025-04-19
NNleXQ2mapo,[천공 정법]13630강 노력을 잘할 수 있는 비법,2025-04-18
P9c0Qn0Q3x8,[천공 정법]13629강 손과 기계를 통한 몸 관리의 차이점,2025-04-17
qn3EmNcOIUs,[천공 정법]13628강 정말 영혼은 거래될 수 있는지,2025-04-16
eKn-HzeOS0k,[천공 정법]13627강 지각하는 영혼,2025-04-15
LBiV-k8-pgg,[천공 정법]13626강 전 세계가 열광하는 한국어,2025-04-14
kgn6jVlLoU0,[천공 정법]13625강 의료개혁,2025-04-13
TPSChK939M4,[천공 정법]13624강 노동개혁,2025-04-12
geBreeV83PA,[천공 정법]13623강 국민연금 개혁,2025-04-11
7yrld9FWALY,[천공 정법]13622강 서울대학교의 나아갈 길,2025-04-10
ABnrlyFXhzM,[천공 정법]13621강 위대한 대한민국,2025-04-09
chmUYQTaefE,[천공 정법]13620강 2025년 삼월삼짇을 맞이하는 마음가짐,2025-04-08
PnNAdnioSMs,[천공 정법]13619강 6월 3일 조기대선,2025-04-07
b3lfRxXeDH8,"[신청공지] ""2025.04 🌸홍익인간 인성교육🌸"" 참가 신청 안내📝(2025년 4월 14일까지 신청하세요!)",2025-04-07
3vXTGm1DsFk,[천공 정법]13618강 尹 전 대통령 파면,2025-04-06
pSvRzvv1OPI,"[천공 정법]13617강 바른 기도, 잠",2025-04-05
WX2NeSqqrRw,[천공 정법]13616강 암요양센터 인근에 바디샵을 운영해도 괜찮을까요?,2025-04-04
bnZtq-t2lnQ,[천공 정법]13615강 입었던 옷을 주는 사람과 받는 사람,2025-04-03
UIG7t75c0yY,[천공 정법]13614강 물질과 비물질,2025-04-02
nCsbtcZs1GY,[천공 정법]13613강 감이 느리고 둔감한 사람,2025-04-01
tyu_5hOyaSM,[천공 정법]13612강  청년 정치인이 갖추어야 할 자질,2025-03-31
vOxLcg0iga4,[천공 정법]13611강 일꾼에서 벗어나 업장을 운영하고 싶다,2025-03-30
vt_HUjsiY3c,[천공 정법]13610강 자녀들의 경제 공부,2025-03-29
xtM0Jlc2-fY,[천공 정법]13609강 전자화폐 사업,2025-03-28
MdOnb-dshvc,[천공 정법]13608강 메타버스 개발자로 성장하기 위한 바른 자세,2025-03-27
VPCLqTEFcF8,[천공 정법]13607강 나이가 비슷하거나 많은 직원을 고용할 때 주의할 점,2025-03-26
VQJzSlHj_xk,[천공 정법]13606강 미국으로 인턴을 하러 가게 되었다,2025-03-25
hcF2jPKX3K4,[천공 정법]13605강 구두 약속과 문서화한 약속의 차이,2025-03-24
a4YOT0q3yCU,[천공 정법]13604강 사천시의 발전 방안,2025-03-23
TqWFLY1KOD8,[천공 정법]13603강 정법강의를 열심히 듣는데 실천이 안 된다,2025-03-22
0FcQNegYyMI,[천공 정법]13602강 여성들이 정치에 관심을 가지는 현상,2025-03-21
sw3yKelrK9I,[천공 정법]13601강 창원의 위기 극복 방안(2_2),2025-03-20
NeJ2X3aPgBY,[천공 정법]13600강 창원의 위기 극복 방안(1_2),2025-03-19
8AY5YaXSqa8,[천공 정법]13599강 사내 연애는 금지해야 하는가?,2025-03-18
1oeNtJc90yc,[천공 정법]13598강 어려운 사람의 고민을 듣게 된다(2_2),2025-03-17
lOCvuuQdUnY,"[신청공지] ""2024 동안거 소지 & 2025 삼월 삼짇"" 공부 참가 신청 안내📝(2025년 3월 24일까지 신청하세요!)",2025-03-17
nZz0BFQWE9k,[천공 정법]13597강 어려운 사람의 고민을 듣게 된다(1_2),2025-03-16
6E2Y4FdAy1w,[천공 정법]13596강 동안거 공부를 소홀히 한 사람들의 영동달 공부,2025-03-15
E_GnYQB6v-4,"[천공 정법]13595강 정법가족들의 활동 범위, 영동달",2025-03-14
RtM4_LpN8JE,[천공 정법]13594강 부모자식 간의 선물,2025-03-13
hviORjdADbY,[천공 정법]13593강 공허함,2025-03-12
JSmEbh0D39g,[천공 정법]13592강 좋은 일과 일희일비,2025-03-11
zD0LPiC3W-4,[천공 정법]13591강 윤석열 대통령의 석방 이후 행보,2025-03-10
poOmrVI25iE,[천공 정법]13590강 욕을 넘어선 표현의 지혜,2025-03-09
IOHdh1pdwCM,[천공 정법]13589강 미국 청소년 마약 문제와 부모의 역할,2025-03-08
MYb5-NiluCA,[천공 정법]13588강 윤석열 대통령 직무 복귀 후 방향성,2025-03-07
AKCGZ_1RXX4,[천공 정법]13587강 AI 혁명 속 윤리규제의 바른 방향,2025-03-06
CyrX4QTpgaU,[천공 정법]13586강 집회에 참석하는 정법가족,2025-03-05
zfderD5B29I,[천공 정법]13585강 재단설립을 통한 공적 가치 창출,2025-03-04
J1HPp0KYr1I,"[천공 정법]13584강 가족 갈등을 부르는 원인 1위, 건강",2025-03-03
P5zxnXovmMA,[천공 정법]13583강 미래 대비 vs 현재 몰입,2025-03-02
FZvlMxM2HEo,[천공 정법]13582강 무거움과 어두움의 차이,2025-03-01
FCSaUfJteII,[천공 정법]13581강 죽음을 맞이하는 방식의 변화,2025-02-28
ceJXz9-QM2I,[천공 정법]13580강 전한길 강사,2025-02-27
czHpNmQWwOI,[천공 정법]13579강 하면 된다 VS 되면 한다,2025-02-26
sOz-EdM_r9w,[천공 정법]13578강 섣달그믐 밤에는 무엇을 해야 하나요?,2025-02-25
u0llP34aiLw,[천공 정법]13577강 대한민국의 모순을 대하는 자세,2025-02-24
AXnWO3XKZlQ,[천공 정법]13576강 일진과 깡패의 역할,2025-02-23
VFBwIpMDtyI,"[천공 정법]13575강 도널드 트럼프, 기업인에서 정치가로?",2025-02-22
TKYFWgkU6Tg,[천공 정법]13574강 오늘날의 애국심,2025-02-21
r8p3YmkzOfQ,[천공 정법]13573강 광화문광장의 새로운 변신,2025-02-20
uUFIG8Tdshc,[천공 정법]13572강 좌파가 나아갈 길,2025-02-19
KUkhUFxVYj0,[천공 정법]13571강 균형 있는 역사 교육의 필요성,2025-02-18
nKM2dUBjbco,[천공 정법]13570강 진정한 친구,2025-02-17
9GLGirZvJM4,"[천공 정법]13569강 규제 vs 자율성, 21세기 사회의 균형점은?",2025-02-16
6q322OsBzUM,[천공 정법]13568강 스승님에 대한 바른 호칭,2025-02-15
5Q7ZlEC48DA,[천공 정법]13567강 엘리트의 수석병,2025-02-14
ebX0DBa24uM,[천공 정법]13566강 미래의 중산층은 누가 되어야 하는가,2025-02-13
PVAyRFZsGHg,[천공 정법]13565강 한국에서 갈 곳 없는 외국인 유학생들,2025-02-12
S6Tr7WdQxBw,"[천공 정법]13564강 끊임없는 도전, 일론 머스크의 비전과 노력",2025-02-11
aEj7VKadWyw,[천공 정법]13563강 미국 우선주의와 한국의 대응 전략,2025-02-10
nEk95NmK8Fc,[천공 정법]13562강 인간에게 감정은 왜 필요한 것인가요?,2025-02-09
wSgRvUA9p0Q,[천공 정법]13561강 내 안의 동자신,2025-02-08
UAHcYTsHwBw,[천공 정법]13560강 교회의 평화 실현,2025-02-07
zAcQyaUv9ps,[천공 정법]13559강 설을 잘 보내는 법,2025-02-06
zusuaKHBHLE,"[천공 정법]13558강 러시아 - 우크라이나 전쟁 3년, 종식을 위한 노력과 전망",2025-02-05
hTVh8coqGUY,[천공 정법]13557강 현 시국에 대한 국민의 어려움(2_2),2025-02-04
jkdABbixEgw,[천공 정법]13556강 현 시국에 대한 국민의 어려움(1_2),2025-02-03
-P4opo1Riu4,"[천공 정법]13555강 2025 트렌드, 아보하(아주 보통의 하루)",2025-02-02
S0iaG0UGELw,[천공 정법]13554강 말의 운동력 - 세상을 바꾸는 우리의 한마디,2025-02-01
JWAwRSDZumQ,[천공 정법]13553강 대한민국만의 독특한 회식 문화,2025-01-31
